2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=652.9ms, frames=20, avg_fps=30.6, dt_min=13.27ms, dt_max=66.29ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=653.9ms, frames=20, avg_fps=30.6, dt_min=13.27ms, dt_max=66.29ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=659.0ms, frames=20, avg_fps=30.4, dt_min=13.27ms, dt_max=66.29ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=661.0ms, frames=20, avg_fps=30.3, dt_min=13.27ms, dt_max=67.34ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=662.5ms, frames=21, avg_fps=31.7, dt_min=3.53ms, dt_max=67.34ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=663.5ms, frames=21, avg_fps=31.6, dt_min=4.54ms, dt_max=67.34ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=666.6ms, frames=21, avg_fps=31.5, dt_min=7.61ms, dt_max=67.34ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=600.6ms, frames=16, avg_fps=26.6, dt_min=13.27ms, dt_max=86.90ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=602.7ms, frames=16, avg_fps=26.5, dt_min=13.27ms, dt_max=87.91ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=604.2ms, frames=16, avg_fps=26.5, dt_min=13.27ms, dt_max=87.91ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=605.2ms, frames=16, avg_fps=26.4, dt_min=13.27ms, dt_max=87.91ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=607.7ms, frames=16, avg_fps=26.3, dt_min=13.27ms, dt_max=88.92ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=609.2ms, frames=16, avg_fps=26.3, dt_min=13.27ms, dt_max=89.42ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=611.3ms, frames=16, avg_fps=26.2, dt_min=13.27ms, dt_max=89.42ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=612.8ms, frames=16, avg_fps=26.1, dt_min=13.27ms, dt_max=89.42ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=614.8ms, frames=16, avg_fps=26.0, dt_min=13.27ms, dt_max=90.43ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=616.8ms, frames=17, avg_fps=27.6, dt_min=13.27ms, dt_max=90.99ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=618.8ms, frames=17, avg_fps=27.5, dt_min=13.27ms, dt_max=90.99ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=620.4ms, frames=17, avg_fps=27.4, dt_min=13.27ms, dt_max=89.99ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=631.0ms, frames=17, avg_fps=26.9, dt_min=13.27ms, dt_max=91.00ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=633.1ms, frames=17, avg_fps=26.9, dt_min=13.27ms, dt_max=91.00ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=637.7ms, frames=18, avg_fps=28.2, dt_min=6.66ms, dt_max=91.00ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=640.7ms, frames=18, avg_fps=28.1, dt_min=8.70ms, dt_max=92.00ms, active_count=0, fps_target=60
